,question,student answer,model answer,score,correct
14,What is the role of a prototype program in problem solving?,A prototype program provides a basic groundwork from which to further enhance and improve a solution to a problem.,To simulate the behaviour of portions of the desired software product.,2.0,0
15,What is the role of a prototype program in problem solving?,"A prototype program is a part of the Specification phase of Software Problem Solvin. It is employed to illustrate how the key problem or problems will be solved in a program, and sometimes serves as a base program to expand upon.",To simulate the behaviour of portions of the desired software product.,4.5,1
16,What is the role of a prototype program in problem solving?,Program that simulates the behavior of portions of the desired software product,To simulate the behaviour of portions of the desired software product.,5.0,1
17,What is the role of a prototype program in problem solving?,it provides a limited proof of concept to verify with the client before actually programming the whole application.,To simulate the behaviour of portions of the desired software product.,2.0,0
18,What is the role of a prototype program in problem solving?,It tests the main function of the program while leaving out the finer details.,To simulate the behaviour of portions of the desired software product.,2.0,0
19,What is the role of a prototype program in problem solving?,To get early feedback from users in early stages of development. To show users a first idea of what the program will do or look like. To make sure the program will meet requirements before intense programming begins.,To simulate the behaviour of portions of the desired software product.,2.5,0
20,What is the role of a prototype program in problem solving?,it simulates the behavior of portions of the desired software product,To simulate the behaviour of portions of the desired software product.,5.0,1
21,What is the role of a prototype program in problem solving?,It simulates the behavior of portions of the desired software product.,To simulate the behaviour of portions of the desired software product.,5.0,1
22,What is the role of a prototype program in problem solving?,A prototype program is used in problem solving to collect data for the problem.,To simulate the behaviour of portions of the desired software product.,1.5,0
23,What is the role of a prototype program in problem solving?,To ease the understanding of problem under discussion and to ease the understanding of the program itself,To simulate the behaviour of portions of the desired software product.,2.5,0
24,What is the role of a prototype program in problem solving?,it simulates the behavior of portions of the desired software product,To simulate the behaviour of portions of the desired software product.,5.0,1
25,What is the role of a prototype program in problem solving?,The role of a prototype program is to help spot key problems that may arise during the actual programing.,To simulate the behaviour of portions of the desired software product.,2.0,0
26,What is the role of a prototype program in problem solving?,"the prototype program gives a general idea of what the end product will do, without the time and effort to write out the entire program.",To simulate the behaviour of portions of the desired software product.,3.0,0
27,What is the role of a prototype program in problem solving?,to show that a certain part of the program works as it is supposed to,To simulate the behaviour of portions of the desired software product.,3.0,0
28,What is the role of a prototype program in problem solving?,"Prototype programming is an approach to programming that enables one to take an organized approach to developing an effective program with minimal errors and a strategic pattern when solving a problem. i. e. book gave an example of a costumer withdrawing money from a bank, the approach that was taking on a pseudo code level during the OOA or Design lvl before proceeding into creating a solution.",To simulate the behaviour of portions of the desired software product.,2.5,0
29,What stages in the software life cycle are influenced by the testing stage?,Refining and possibly the design if the testing phase reveals problems in the design. Production can be affected if the program is unworkable in its current form which will lead to a later production time than originally estimated. Also affects coding because after testing you may need to rewrite the code for the program to remove errors.,The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,3.5,0
30,What stages in the software life cycle are influenced by the testing stage?,The implementation phase and the maintenance phase are effected,The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,4.0,1
31,What stages in the software life cycle are influenced by the testing stage?,"Verification, coding, refining the solution and maintenance are all influenced by the testing stage.",The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,4.5,1
32,What stages in the software life cycle are influenced by the testing stage?,"In RUP the stages in the software life cycle are influenced by the testing stage is: Elaboration phase-refined progject vision, iterative devilopment of core system, development of system requirements, more accurate time and cost estimates. Construction phase-iterative development of remaining system. Transition phase-testing and deployment of the system.",The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,3.0,0
33,What stages in the software life cycle are influenced by the testing stage?,"Refining the solution, Production and Maintenance are all influenced by the Testing stage.",The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,3.0,0
34,What stages in the software life cycle are influenced by the testing stage?,"Elaboration, Construction, and Transition are all affected by testing",The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,2.0,0
35,What stages in the software life cycle are influenced by the testing stage?,"Refining, Production, Maintenance",The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,3.5,0
36,What stages in the software life cycle are influenced by the testing stage?,Refining the solution,The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,4.0,1
37,What stages in the software life cycle are influenced by the testing stage?,Verification Debugging,The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,2.0,0
38,What stages in the software life cycle are influenced by the testing stage?,Refining and Coding,The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,5.0,1
39,What stages in the software life cycle are influenced by the testing stage?,"The second half of the Elaboration phase, Construction phase, and the Transition phase.",The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,2.5,0
40,What stages in the software life cycle are influenced by the testing stage?,"The refining step, the production step, and the maintenance stage.",The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,3.5,0
41,What stages in the software life cycle are influenced by the testing stage?,"Elaboration, Construction, Transition",The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,2.0,0
42,What stages in the software life cycle are influenced by the testing stage?,Refining.,The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,3.0,0
43,What stages in the software life cycle are influenced by the testing stage?,"The testing stage has a direct influence on the final version of a program, being as it is the debugging and finalization of a software revision.",The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,1.5,0
44,What stages in the software life cycle are influenced by the testing stage?,"Directly: Refining, coding. Because Refining is right before the Testing Phase and Coding is right after the Testing Phase. Indirectly: Production, Maintenance. Because Refining occurs before these last two stages in the Software Life Cycle.",The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,5.0,1
45,What stages in the software life cycle are influenced by the testing stage?,"Testing, refining, production, and maintenance.",The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,3.5,0
46,What stages in the software life cycle are influenced by the testing stage?,"Depending on how the work is done, Testing is spread throughout the process as to prevent errors from showing up later on due to lack of foresight.",The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,1.5,0
47,What stages in the software life cycle are influenced by the testing stage?,"Elaboration, construction, and transition.",The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,2.5,0
48,What stages in the software life cycle are influenced by the testing stage?,"All stages are influenced except setting the program requirements. If a test fails, it can change the whole design, implementation, etc of a program as well as the final outcome.",The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,1.5,0
49,What stages in the software life cycle are influenced by the testing stage?,"Refining, production, and maintenance",The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,3.0,0
50,What stages in the software life cycle are influenced by the testing stage?,coding and refining,The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,5.0,1
51,What stages in the software life cycle are influenced by the testing stage?,"refining, production, maintenance.",The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,3.5,0
52,What stages in the software life cycle are influenced by the testing stage?,"Removing logical errors, testing for valid data, random data and actual data.",The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,1.0,0
53,What stages in the software life cycle are influenced by the testing stage?,1-specification 2-design 3-risk analysis 4-verification 5-coding 6-testing 7-refining 8-production 9-maintenance,The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,2.5,0
54,What stages in the software life cycle are influenced by the testing stage?,"Refining stage, Production stage, and Maintenance stage.",The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,3.5,0
55,What stages in the software life cycle are influenced by the testing stage?,Testing could affect all parts of the life cycle; it could make you go back to specification if it does not test well.,The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,2.0,0
56,What stages in the software life cycle are influenced by the testing stage?,coding,The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,3.0,0
57,What stages in the software life cycle are influenced by the testing stage?,"The Individual components and steps such as analysis, design, and implementing code as well as the entire system are tested for execution of the requirements identified during the analysis stage. i. e. Main output",The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7,1.5,0
58,What are the main advantages associated with object-oriented programming?,"Modularability, the ability to reuse parts of the program later in another program sometimes with completely different goals for the program. Also it makes it easier to debug code by dividing up the code into classes that each do a specific job and when the program fails at one job you only have one class to debug. Good for security purposes because it allows you to let someone use a program which sorts lists without having to give them access to the source code. ALso allows you to use inheritance and polymorphism.",Abstraction and reusability.,4.5,1
59,What are the main advantages associated with object-oriented programming?,"This type of programming is more flexible, making it easier to add and modify the program. It is also a type of a fail safe program, you check each individual module. This eliminates redundant code and makes the program easier to read for other programmers. When debugging the program it is easier to track down the source of a problem within a module rather than a 2 million line program.",Abstraction and reusability.,5.0,1
60,What are the main advantages associated with object-oriented programming?,The main advantages to object-oriented programming are that existing classes can be reused and program maintenance and verification are easier.,Abstraction and reusability.,3.5,0
61,What are the main advantages associated with object-oriented programming?,The advantages is that OOP allows us to build classes of objects. Three principles that make up OOP are: Encapsulation-Objects combine data and operations. Inheritance-Classes can inherit properties from other classes. Polymorphism-Objects can determine appropriate operations at execution time.,Abstraction and reusability.,2.5,0
62,What are the main advantages associated with object-oriented programming?,Some advantages are existing classes can be reused and program maintenance and verification are easier to accomplish.,Abstraction and reusability.,3.5,0
63,What are the main advantages associated with object-oriented programming?,Object oriented programming allows programmers to use an object with classes that can be changed and manipulated while not affecting the entire object at once. The classes all hold attrubutes that affect the object.,Abstraction and reusability.,1.0,0
64,What are the main advantages associated with object-oriented programming?,"Reusable components, Extensibility, Maintainability, it reduces large problems into smaller more manageable problems.",Abstraction and reusability.,4.0,1
65,What are the main advantages associated with object-oriented programming?,Encapsulation-objects combine data and operations Inheritance-classes can inherit properties from other classes Polymorphism-Objects can determine appropriate operations at execution time,Abstraction and reusability.,2.5,0
66,What are the main advantages associated with object-oriented programming?,Easier to debugg Reusability,Abstraction and reusability.,3.0,0
67,What are the main advantages associated with object-oriented programming?,Re-usability and ease of maintenance,Abstraction and reusability.,4.0,1
68,What are the main advantages associated with object-oriented programming?,"One of the main advantages is you can hide inner details a technique known by encapsulation. Objects combine the data and operations but you cannot see how it works. Another advantage is you can reuse classes that have been defined earlier in the program, a method known as inheritance. Finally another advantage is objects can determine appropriate operations at execution time a technique known as polymorphism.",Abstraction and reusability.,5.0,1
69,What are the main advantages associated with object-oriented programming?,"Existing classes can be reused, and program maintenance and verification are easier.",Abstraction and reusability.,3.5,0
70,What are the main advantages associated with object-oriented programming?,Using different modules allows for easier debugging,Abstraction and reusability.,2.0,0
71,What are the main advantages associated with object-oriented programming?,"Data encapsulation concept, the use of functions or methods to manipulate data.",Abstraction and reusability.,3.5,0
72,What are the main advantages associated with object-oriented programming?,"Modular, reusable code, allowing faster deployment of solutions, and a more general view of a solution.",Abstraction and reusability.,4.5,1
73,What are the main advantages associated with object-oriented programming?,"Coding and Debugging programs are usually easier, as either the compiler will specify the object that is working incorrectly, or the function an object was assigned to will be easier to identify. The code itself also looks more organized and is easier to read and will help to avoid redundant coding. Post-programming maintenance is also easier. Also, modules can be reused several times in other programs without too much hassle. Abstraction is the art of breaking down one big problem into smaller, simpler problems and solving them. Many of the smaller problems are shared between unique complex problems, and creating modules to these solve these smaller repeated problems can save time when you encounter them again.",Abstraction and reusability.,5.0,1
74,What are the main advantages associated with object-oriented programming?,"Variables can remain private. The code is easily modified and reusable, as well as easily implemented. Not to mention easier to read and follow along as an observer.",Abstraction and reusability.,4.5,1
75,What are the main advantages associated with object-oriented programming?,Data Abstraction and control ... it is possible to isolate elements from other elements a lot easier and prevent tampering of data.,Abstraction and reusability.,3.5,0
76,What are the main advantages associated with object-oriented programming?,Encapsulation Objects use operations without knowing how the operation works. Inheritance cuts redundancy by reusing earlier classes. Polymorphism objects select the correct operation to use in the situation.,Abstraction and reusability.,4.0,1
77,What are the main advantages associated with object-oriented programming?,"They make it easier to reuse and adapt previously written code and they separate complex programs into smaller, easier to understand classes.",Abstraction and reusability.,4.5,1
78,What are the main advantages associated with object-oriented programming?,"Existing classes can be reused, Program maintenance and verification are easier",Abstraction and reusability.,3.5,0
79,What are the main advantages associated with object-oriented programming?,"Existing classes can be feused, Program maintenance and verification are easier",Abstraction and reusability.,3.5,0
80,What are the main advantages associated with object-oriented programming?,"the main advantages to object-oriented programming is data abstraction, easier maintenance, and re-usability.",Abstraction and reusability.,5.0,1
81,What are the main advantages associated with object-oriented programming?,Existing classes can be reused Program maintenance and verifications are easy,Abstraction and reusability.,4.0,1
82,What are the main advantages associated with object-oriented programming?,1-Existing classes can be reused 2-Program maintenance and verification are easier,Abstraction and reusability.,3.5,0
83,What are the main advantages associated with object-oriented programming?,Information can be hidden. It is easier to debug. Programming is easier and more manageable.,Abstraction and reusability.,3.5,0
84,What are the main advantages associated with object-oriented programming?,"Existing classes can be reused, program maintenance and verification are easier.",Abstraction and reusability.,3.5,0
85,What are the main advantages associated with object-oriented programming?,existing classes can be reused program maintenance and verification are easier,Abstraction and reusability.,3.5,0
86,What are the main advantages associated with object-oriented programming?,"Well for one encapsulation the values of the variables inside an object are private, unless methods are written to pass info outside of the object. As well as Inheritance where each subclass inherits all variables and methods of its super class. Example in the book included obj clock and how obj alarm would still use clock from the first class.",Abstraction and reusability.,3.5,0
87,Where do C plus plus programs begin to execute?,At function int main,At the main function.,5.0,1
88,Where do C plus plus programs begin to execute?,the Function main .,At the main function.,5.0,1
89,Where do C plus plus programs begin to execute?,c plus plus programs begin to execute in the main method.,At the main function.,5.0,1
90,Where do C plus plus programs begin to execute?,A C plus plus program will begin to execute at the main function.,At the main function.,5.0,1
91,Where do C plus plus programs begin to execute?,They begin in the main function.,At the main function.,5.0,1
92,Where do C plus plus programs begin to execute?,Int main,At the main function.,5.0,1
93,Where do C plus plus programs begin to execute?,main method,At the main function.,5.0,1
94,Where do C plus plus programs begin to execute?,in the testing phase,At the main function.,0.0,0
95,Where do C plus plus programs begin to execute?,At the MAIN function,At the main function.,5.0,1
96,Where do C plus plus programs begin to execute?,main,At the main function.,5.0,1
97,Where do C plus plus programs begin to execute?,They begin to execute at the funcion main .,At the main function.,5.0,1
98,Where do C plus plus programs begin to execute?,The main method.,At the main function.,5.0,1
99,Where do C plus plus programs begin to execute?,At the root,At the main function.,2.5,0
100,Where do C plus plus programs begin to execute?,In the main function.,At the main function.,5.0,1
101,Where do C plus plus programs begin to execute?,C plus plus programs begin execution at main.,At the main function.,5.0,1
102,Where do C plus plus programs begin to execute?,In the Main function ..?,At the main function.,5.0,1
103,Where do C plus plus programs begin to execute?,At the main  function,At the main function.,5.0,1
104,Where do C plus plus programs begin to execute?,The main function.,At the main function.,5.0,1
105,Where do C plus plus programs begin to execute?,The function main,At the main function.,5.0,1
106,Where do C plus plus programs begin to execute?,"After loading the required include statements and libraries, the main method begins the execution.",At the main function.,5.0,1
107,Where do C plus plus programs begin to execute?,main function,At the main function.,5.0,1
108,Where do C plus plus programs begin to execute?,main,At the main function.,5.0,1
109,Where do C plus plus programs begin to execute?,C plus plus programs begin execution at the main function.,At the main function.,5.0,1
110,Where do C plus plus programs begin to execute?,At main,At the main function.,5.0,1
111,Where do C plus plus programs begin to execute?,they beging to excute at main,At the main function.,5.0,1
112,Where do C plus plus programs begin to execute?,at the main function int main,At the main function.,5.0,1
113,Where do C plus plus programs begin to execute?,C plus plus programs begin execution at the main function.,At the main function.,5.0,1
114,Where do C plus plus programs begin to execute?,in the main function,At the main function.,5.0,1
115,Where do C plus plus programs begin to execute?,Within the main function,At the main function.,5.0,1
116,What is a variable?,Variable can be a integer or a string in a program.,A location in memory that can store a value.,2.0,0
117,What is a variable?,"In programming, a structure that holds data and is uniquely named by the programmer. It holds the data assigned to it until a new value is assigned or the program is finished.",A location in memory that can store a value.,4.5,1
118,What is a variable?,A variable is a location in memory where a value can be stored.,A location in memory that can store a value.,5.0,1
119,What is a variable?,"Variable is a location in the computer 's memory, in which a value can be stored and later can retrieve that value.",A location in memory that can store a value.,5.0,1
120,What is a variable?,"A variable is a location in the computer 's memory where a value can be stored for use by a program. Each variable has a name, a value, a type and a size.",A location in memory that can store a value.,5.0,1
121,What is a variable?,A named object that can hold a numerical or letter value,A location in memory that can store a value.,3.5,0
122,What is a variable?,"It is a sybol or name for a value or number. Example: a used number can stand for any given number, and the programmer can refer to that number by using the variable name.",A location in memory that can store a value.,4.0,1
123,What is a variable?,A variable is a location in the computers memory where a value can be stored for use by a program,A location in memory that can store a value.,5.0,1
124,What is a variable?,An identifier that holds a location in memory.,A location in memory that can store a value.,4.0,1
125,What is a variable?,a block of memory that holds a specific type of data,A location in memory that can store a value.,5.0,1
126,What is a variable?,It is a location in the computer 's memory where it can be stored for use by a program.,A location in memory that can store a value.,5.0,1
127,What is a variable?,A location in memory where value can be stored.,A location in memory that can store a value.,5.0,1
128,What is a variable?,a value or word that can assume any of a set of values,A location in memory that can store a value.,3.0,0
129,What is a variable?,A pointer to a location in memory.,A location in memory that can store a value.,4.0,1
130,What is a variable?,"A variable is the memory address for a specific type of stored data, or from a mathematical perspective, a symbol representing a fixed definition with changing values.",A location in memory that can store a value.,5.0,1
131,What is a variable?,A variable is a value that is subject to change in a computer 's memory that can be used by programs. Programs can change the value of the variable and recall it later or act on it directly.,A location in memory that can store a value.,5.0,1
132,What is a variable?,a symbol that stands in for a value that may or may not change depending on the program.,A location in memory that can store a value.,4.0,1
133,What is a variable?,"a placeholder to hold information used in the program ... for example: int can hold: 1, 2, 3, 4, 68, 72, 256, etc. float can hold: 1.54, 55.55, 1.24, 5.657, 8.8123, et. char can hold: A, B, C, D, E, F,!, 4, 5, 6, P, etc.",A location in memory that can store a value.,4.5,1
134,What is a variable?,a stored value used by the program,A location in memory that can store a value.,4.5,1
135,What is a variable?,"A way to store different values into the program, such as numbers, words, letters, etc.",A location in memory that can store a value.,4.5,1
136,What is a variable?,An object with a location in memory where value can be stored,A location in memory that can store a value.,3.5,0
137,What is a variable?,location in memory where a value can be stored,A location in memory that can store a value.,5.0,1
138,What is a variable?,a variable is an object where data is stored.,A location in memory that can store a value.,3.5,0
139,What is a variable?,Location in memory where a value can be stored.,A location in memory that can store a value.,5.0,1
140,What is a variable?,it is a location in memory where value can be stored,A location in memory that can store a value.,5.0,1
141,What is a variable?,A variable is the location in a computer 's memory where a value can be stored for use by a program.,A location in memory that can store a value.,5.0,1
142,What is a variable?,A variable is a location in a computers memory where a value can be stored for use by a program.,A location in memory that can store a value.,5.0,1
143,What is a variable?,a location in memory where data can be stored and retrieved,A location in memory that can store a value.,5.0,1
144,What is a variable?,"Is a method or identifier I would say, we use to bind a data object to memory location; which is then stored in a location that can be accessed when and manipulated later when the variable name is called.",A location in memory that can store a value.,5.0,1
145,Where are variables declared in a C plus plus program?,"They can be declared right before they are used, but it is a good practice to declare them at the beginning of the program and label what they are food.",Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,2.0,0
146,Where are variables declared in a C plus plus program?,In the Function main before using the variable.,Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,3.0,0
147,Where are variables declared in a C plus plus program?,"Local variables are declared inside the method or function they will be used in at the beginning of the method. Global variables are declared outside of any function or method, generally before functions are defined.",Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,5.0,1
148,Where are variables declared in a C plus plus program?,Variables are declared where ever it is defined either inside a block locally or outside a block globally.,Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,4.5,1
149,Where are variables declared in a C plus plus program?,Variables are declared before they are actually used. They can be declared before main to use globally,Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,4.0,1
150,Where are variables declared in a C plus plus program?,"For good programing practice they should be declared before main , but should at least be declared before they are used.",Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,2.5,0
151,Where are variables declared in a C plus plus program?,"They can be declared globally just before the main methodbut also outside of it... or variables can be subject to only the method they are scoped within, but would still be declared at the beginning of that methodbut inside of it.",Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,5.0,1
152,Where are variables declared in a C plus plus program?,local variables are declared inside the method while global variables are declared in the body.,Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,5.0,1
153,Where are variables declared in a C plus plus program?,Any where in the main function.,Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,2.0,0
154,Where are variables declared in a C plus plus program?,"Globally for an entire program, and locally for individual functionsincluding FOR statements",Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,4.5,1
155,Where are variables declared in a C plus plus program?,They are usually declared at the beginning before they can be used in the program. They always contain a name and a data type.,Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,3.0,0
156,Where are variables declared in a C plus plus program?,Inside the method.,Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,2.5,0
157,Where are variables declared in a C plus plus program?,at the top,Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,1.5,0
158,Where are variables declared in a C plus plus program?,Global variables are declared in the body of the code. Local variables are declared in the function they are to be usedunless the function is being passed a variable. Variables should always be declared before use.,Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,5.0,1
159,Where are variables declared in a C plus plus program?,Variables are usually declared at the beginning of a module of C plus plus code.,Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,2.5,0
160,Where are variables declared in a C plus plus program?,"In the main function, usually at the top of code. They can be declared almost anywhere, but must be declared before the code can use or act upon them.",Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,3.5,0
161,Where are variables declared in a C plus plus program?,in the very beginning of the program. Before the main starts.,Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,2.0,0
162,Where are variables declared in a C plus plus program?,"In the declaration of Functions, for statements, and while statements. in the body of If, For, while, do while, statements, in namespaces, headers, etcalmost anywhere.anywhere in the program, as long as it is on it is own line.",Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,2.5,0
163,Where are variables declared in a C plus plus program?,After declaration of the variable 's data type.,Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,1.0,0
164,Where are variables declared in a C plus plus program?,"anywhere in the code, can be at the top, or in the middle of the code, or anywhere.",Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,3.0,0
165,Where are variables declared in a C plus plus program?,Before they are used.,Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,2.0,0
166,Where are variables declared in a C plus plus program?,Anywhere in the same scope before they are used,Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,3.5,0
167,Where are variables declared in a C plus plus program?,variables can be declared in classes and methods.,Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,2.5,0
168,Where are variables declared in a C plus plus program?,inside the function scope and outside of the function scope in case of global variables,Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,5.0,1
169,Where are variables declared in a C plus plus program?,global variables are declared in the main function local variables are declared in any other function,Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,4.0,1
170,Where are variables declared in a C plus plus program?,"Variables are usually declared at the very beginning of a C plus plus program, but can be declared any in the program as long as they appear before they are called upon.",Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,4.0,1
171,Where are variables declared in a C plus plus program?,"Variables are declared in the main function, before any operation is attempted with the variables.",Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,2.0,0
172,Where are variables declared in a C plus plus program?,"anywhere, but where you declare them depends on where you want them to be accessibletheir scope",Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,4.5,1
173,Where are variables declared in a C plus plus program?,It depends if it s a global then they have to be declared out side the source code to be used in every scope however a local variable is one declared in a local function etc. which obviously doesn t need to be declared outside the variable seeing how it is used for the function or block its being called for.,Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables,4.5,1
174,What is the main difference between a while and a do ... while statement?,The do statement first evaluates the condition and then executes the lines of code in the statement 0 or more times. The do while statement executes the lines of code and then it evaluates the condition.,The block inside a do ... while statement will execute at least once.,4.5,1
175,What is the main difference between a while and a do ... while statement?,do ... while statements evaluate whether or not to loop after running the block contained within it at least once. So the main differance is that while statements have a possibility of never being used. Do ... while statements on the other hand are always run at least once before evaluating whether to run again.,The block inside a do ... while statement will execute at least once.,5.0,1
176,What is the main difference between a while and a do ... while statement?,"The main difference between a while and a do ... while loop is that the do ... while loop always cycles through the loop at least once, but the while loop does not always do so.",The block inside a do ... while statement will execute at least once.,5.0,1
177,What is the main difference between a while and a do ... while statement?,While loop used to execute a block of code as long as some condition is true. A do ... while loop used to execute a block of code as long as some condition is satisfied. The difference between while and do ... while is while loop tests its condition before the execution of its contents and the do ... while loop tests its condition after the execution of its contents at least once.,The block inside a do ... while statement will execute at least once.,5.0,1
178,What is the main difference between a while and a do ... while statement?,"The termination condition of a do ... while statement is usually at the end of the loop so it will run at least once. As for the while statement, if the condition is false to begin with, then the loop will never run.",The block inside a do ... while statement will execute at least once.,5.0,1
179,What is the main difference between a while and a do ... while statement?,A while loop will check the statement to make sure it is true before executing. A do while loop will execute before checking the statement to see if it should run again.,The block inside a do ... while statement will execute at least once.,5.0,1
